Logical Record Number,Provider ID,FRN,Provider Name,DBA Name,Holding Company Name,Holding Company Number,Holding Company Final,State,Census Block FIPS Code,Technology Code,Consumer,Max Advertised Downstream Speed (mbps),Max Advertised Upstream Speed (mbps),Business
106,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987003000,42,1,6,1.5,1
107,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987003001,42,1,6,1.5,1
108,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987003002,42,1,6,1.5,1
109,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987003003,42,1,6,1.5,1
110,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987003004,42,1,6,1.5,1
111,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987003005,42,1,6,1.5,1
112,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987003006,42,1,6,1.5,1
113,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987003007,42,1,6,1.5,1
114,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987003008,42,1,6,1.5,1
115,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987003009,42,1,6,1.5,1
116,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987003010,42,1,6,1.5,1
117,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987003011,42,1,6,1.5,1
